"GEMEINDE_CODE","GEMEINDE_NAME","BEZIRK_CODE","BEZIRK_NAME","RAUMPLANUNGSREGION_CODE","RAUMPLANUNGSREGION_NAME"
13,"Stallikon",101,"Affoltern",105,"Knonaueramt"
4,"Hausen am Albis",101,"Affoltern",105,"Knonaueramt"
5,"Hedingen",101,"Affoltern",105,"Knonaueramt"
2,"Affoltern am Albis",101,"Affoltern",105,"Knonaueramt"
3,"Bonstetten",101,"Affoltern",105,"Knonaueramt"
11,"Ottenbach",101,"Affoltern",105,"Knonaueramt"
14,"Wettswil am Albis",101,"Affoltern",105,"Knonaueramt"
1,"Aeugst am Albis",101,"Affoltern",105,"Knonaueramt"
9,"Mettmenstetten",101,"Affoltern",105,"Knonaueramt"
10,"Obfelden",101,"Affoltern",105,"Knonaueramt"
6,"Kappel am Albis",101,"Affoltern",105,"Knonaueramt"
7,"Knonau",101,"Affoltern",105,"Knonaueramt"
8,"Maschwanden",101,"Affoltern",105,"Knonaueramt"
12,"Rifferswil",101,"Affoltern",105,"Knonaueramt"
228,"Turbenthal",110,"Winterthur",109,"Winterthur und Umgebung"
231,"Zell (ZH)",110,"Winterthur",109,"Winterthur und Umgebung"
230,"Winterthur",110,"Winterthur",109,"Winterthur und Umgebung"
220,"Hagenbuch",110,"Winterthur",109,"Winterthur und Umgebung"
218,"Ellikon an der Thur",110,"Winterthur",109,"Winterthur und Umgebung"
221,"Hettlingen",110,"Winterthur",109,"Winterthur und Umgebung"
219,"Elsau",110,"Winterthur",109,"Winterthur und Umgebung"
213,"Brütten",110,"Winterthur",109,"Winterthur und Umgebung"
216,"Dinhard",110,"Winterthur",109,"Winterthur und Umgebung"
214,"Dägerlen",110,"Winterthur",109,"Winterthur und Umgebung"
215,"Dättlikon",110,"Winterthur",109,"Winterthur und Umgebung"
211,"Altikon",110,"Winterthur",109,"Winterthur und Umgebung"
226,"Schlatt (ZH)",110,"Winterthur",109,"Winterthur und Umgebung"
224,"Pfungen",110,"Winterthur",109,"Winterthur und Umgebung"
225,"Rickenbach (ZH)",110,"Winterthur",109,"Winterthur und Umgebung"
227,"Seuzach",110,"Winterthur",109,"Winterthur und Umgebung"
223,"Neftenbach",110,"Winterthur",109,"Winterthur und Umgebung"
298,"Wiesendangen",110,"Winterthur",109,"Winterthur und Umgebung"
294,"Elgg",110,"Winterthur",109,"Winterthur und Umgebung"
199,"Volketswil",109,"Uster",102,"Glattal"
194,"Greifensee",109,"Uster",102,"Glattal"
191,"Dübendorf",109,"Uster",102,"Glattal"
193,"Fällanden",109,"Uster",102,"Glattal"
200,"Wangen-Brüttisellen",109,"Uster",102,"Glattal"
195,"Maur",109,"Uster",102,"Glattal"
197,"Schwerzenbach",109,"Uster",102,"Glattal"
192,"Egg",109,"Uster",107,"Pfannenstiel"
198,"Uster",109,"Uster",108,"Zürcher Oberland"
196,"Mönchaltorf",109,"Uster",108,"Zürcher Oberland"
181,"Wila",108,"Pfäffikon",108,"Zürcher Oberland"
182,"Wildberg",108,"Pfäffikon",108,"Zürcher Oberland"
172,"Fehraltorf",108,"Pfäffikon",108,"Zürcher Oberland"
173,"Hittnau",108,"Pfäffikon",108,"Zürcher Oberland"
177,"Pfäffikon",108,"Pfäffikon",108,"Zürcher Oberland"
178,"Russikon",108,"Pfäffikon",108,"Zürcher Oberland"
